Date,Open,High,Low,Close,Adj Close,Volume
2016-08-04,30.353374,30.501299,29.702524,30.389999,29.968781,5300400
2016-08-05,30.027950,30.175871,29.801138,30.299999,29.880028,4224400
2016-08-08,29.830721,30.284346,29.830721,30.639999,30.215315,5337100
2016-08-09,30.313929,30.530880,29.978643,30.520000,30.096979,2983900
2016-08-10,30.087118,30.225176,29.771555,30.410000,29.988504,3687300
2016-08-11,30.067396,30.392820,29.889891,30.420000,29.998365,3251700
2016-08-12,30.027950,30.530880,29.958920,30.900000,30.471714,3660600
2016-08-15,30.471714,30.787277,30.284346,31.129999,30.698524,4300600
2016-08-16,30.649218,30.777414,30.166010,30.629999,30.205454,4777500
2016-08-17,30.274485,30.323792,29.505297,30.219999,29.801138,7178600
2016-08-18,29.820860,30.047670,29.653217,30.209999,29.791275,5407800
2016-08-19,29.781416,30.077257,29.751831,30.280001,29.860308,6870900
2016-08-22,29.889891,30.777414,29.889891,31.010000,30.580191,11333400
2016-08-23,30.757694,30.915476,30.096979,30.559999,30.136423,5538000
2016-08-24,30.205454,30.935200,30.185732,31.110001,30.678804,5410800
2016-08-25,30.718248,30.747831,30.521021,31.000000,30.570326,2899600
2016-08-26,30.728109,30.757694,30.116703,30.730000,30.304068,3729700
2016-08-29,30.215315,30.432268,30.116703,30.690001,30.264624,2679200
2016-08-30,30.225176,30.570326,30.136423,30.840000,30.412546,3390100
2016-08-31,30.451990,30.451990,29.850447,30.379999,29.958920,4108500
2016-09-01,30.047670,30.195595,29.919474,30.559999,30.136423,2683700
2016-09-02,30.215315,30.540743,30.136423,30.780001,30.353374,4026500
2016-09-06,30.057533,30.402683,30.008226,30.700001,30.274485,2383700
2016-09-07,29.002363,29.061531,28.095118,29.080000,28.676939,16822100
2016-09-08,28.686800,29.041811,28.499432,29.260000,28.854445,8283500
2016-09-09,28.568462,28.637495,28.164146,28.600000,28.203594,8207900
2016-09-12,28.104979,28.174007,27.671074,28.389999,27.996502,5668400
2016-09-13,27.838718,27.986639,27.424541,28.000000,27.611908,5231700
2016-09-14,27.473850,27.809135,27.286482,28.000000,27.611908,4822500
2016-09-15,27.562601,28.233175,27.513294,28.520000,28.124702,8195900
2016-09-16,28.016226,28.154284,27.720383,28.389999,27.996502,5795900
2016-09-19,28.124702,28.529018,28.065531,28.580000,28.183868,4790500
2016-09-20,28.203594,28.341652,27.818996,28.219999,27.828857,3883000
2016-09-21,28.144424,28.233175,27.799274,28.590000,28.193729,3884100
2016-09-22,28.223316,28.637495,28.203594,28.670000,28.272621,5358000
2016-09-23,28.203594,28.381098,27.996502,28.520000,28.124702,3313300
